v2	V(v)
Step Information: V3=2.5  (Run: 1/3)
-5.000000000000000e-001	1.115490e+000
-4.900000000000000e-001	1.115511e+000
-4.800000000000000e-001	1.115539e+000
-4.700000000000000e-001	1.115576e+000
-4.600000000000000e-001	1.115626e+000
-4.500000000000000e-001	1.115691e+000
-4.400000000000000e-001	1.115777e+000
-4.299999999999999e-001	1.115889e+000
-4.199999999999999e-001	1.116033e+000
-4.099999999999999e-001	1.116217e+000
-3.999999999999999e-001	1.116449e+000
-3.899999999999999e-001	1.116738e+000
-3.799999999999999e-001	1.117092e+000
-3.699999999999999e-001	1.117521e+000
-3.599999999999999e-001	1.118032e+000
-3.499999999999999e-001	1.118631e+000
-3.399999999999999e-001	1.119325e+000
-3.299999999999999e-001	1.120118e+000
-3.199999999999998e-001	1.121015e+000
-3.099999999999998e-001	1.122017e+000
-2.999999999999998e-001	1.123126e+000
-2.899999999999998e-001	1.124342e+000
-2.799999999999998e-001	1.125667e+000
-2.699999999999998e-001	1.127099e+000
-2.599999999999998e-001	1.128637e+000
-2.499999999999998e-001	1.130281e+000
-2.399999999999998e-001	1.132029e+000
-2.299999999999998e-001	1.133880e+000
-2.199999999999998e-001	1.135832e+000
-2.099999999999997e-001	1.137883e+000
-1.999999999999997e-001	1.140032e+000
-1.899999999999997e-001	1.142277e+000
-1.799999999999997e-001	1.144617e+000
-1.699999999999997e-001	1.147050e+000
-1.599999999999997e-001	1.149575e+000
-1.499999999999997e-001	1.152190e+000
-1.399999999999997e-001	1.154894e+000
-1.299999999999997e-001	1.157686e+000
-1.199999999999997e-001	1.160564e+000
-1.099999999999997e-001	1.163527e+000
-9.999999999999969e-002	1.166575e+000
-8.999999999999969e-002	1.169707e+000
-7.999999999999970e-002	1.172922e+000
-6.999999999999970e-002	1.176219e+000
-5.999999999999970e-002	1.179597e+000
-4.999999999999970e-002	1.183057e+000
-3.999999999999970e-002	1.186597e+000
-2.999999999999969e-002	1.190217e+000
-1.999999999999969e-002	1.193918e+000
-9.999999999999691e-003	1.197698e+000
3.087807787238717e-016	1.201558e+000
1.000000000000031e-002	1.205498e+000
2.000000000000031e-002	1.209518e+000
3.000000000000031e-002	1.213617e+000
4.000000000000031e-002	1.217797e+000
5.000000000000032e-002	1.222057e+000
6.000000000000032e-002	1.226399e+000
7.000000000000031e-002	1.230821e+000
8.000000000000031e-002	1.235327e+000
9.000000000000030e-002	1.239914e+000
1.000000000000003e-001	1.244586e+000
1.100000000000003e-001	1.249341e+000
1.200000000000003e-001	1.254183e+000
1.300000000000003e-001	1.259110e+000
1.400000000000003e-001	1.264126e+000
1.500000000000003e-001	1.269230e+000
1.600000000000003e-001	1.274424e+000
1.700000000000003e-001	1.279710e+000
1.800000000000003e-001	1.285089e+000
1.900000000000003e-001	1.290562e+000
2.000000000000003e-001	1.296132e+000
2.100000000000004e-001	1.301800e+000
2.200000000000004e-001	1.307567e+000
2.300000000000004e-001	1.313436e+000
2.400000000000004e-001	1.319408e+000
2.500000000000004e-001	1.325485e+000
2.600000000000004e-001	1.331669e+000
2.700000000000004e-001	1.337961e+000
2.800000000000004e-001	1.344362e+000
2.900000000000004e-001	1.350874e+000
3.000000000000004e-001	1.357497e+000
3.100000000000004e-001	1.364231e+000
3.200000000000005e-001	1.371076e+000
3.300000000000005e-001	1.378030e+000
3.400000000000005e-001	1.385092e+000
3.500000000000005e-001	1.392257e+000
3.600000000000005e-001	1.399522e+000
3.700000000000005e-001	1.406880e+000
3.800000000000005e-001	1.414326e+000
3.900000000000005e-001	1.421850e+000
4.000000000000005e-001	1.429444e+000
4.100000000000005e-001	1.437100e+000
4.200000000000005e-001	1.444808e+000
4.300000000000006e-001	1.452560e+000
4.400000000000006e-001	1.460348e+000
4.500000000000006e-001	1.468166e+000
4.600000000000006e-001	1.476008e+000
4.700000000000006e-001	1.483868e+000
4.800000000000006e-001	1.491744e+000
4.900000000000006e-001	1.499633e+000
5.000000000000000e-001	1.507531e+000
Step Information: V3=3.5  (Run: 2/3)
-5.000000000000000e-001	1.906975e+000
-4.900000000000000e-001	1.906996e+000
-4.800000000000000e-001	1.907023e+000
-4.700000000000000e-001	1.907060e+000
-4.600000000000000e-001	1.907110e+000
-4.500000000000000e-001	1.907176e+000
-4.400000000000000e-001	1.907265e+000
-4.299999999999999e-001	1.907380e+000
-4.199999999999999e-001	1.907531e+000
-4.099999999999999e-001	1.907725e+000
-3.999999999999999e-001	1.907971e+000
-3.899999999999999e-001	1.908278e+000
-3.799999999999999e-001	1.908656e+000
-3.699999999999999e-001	1.909115e+000
-3.599999999999999e-001	1.909661e+000
-3.499999999999999e-001	1.910303e+000
-3.399999999999999e-001	1.911046e+000
-3.299999999999999e-001	1.911894e+000
-3.199999999999998e-001	1.912850e+000
-3.099999999999998e-001	1.913918e+000
-2.999999999999998e-001	1.915098e+000
-2.899999999999998e-001	1.916390e+000
-2.799999999999998e-001	1.917794e+000
-2.699999999999998e-001	1.919310e+000
-2.599999999999998e-001	1.920936e+000
-2.499999999999998e-001	1.922671e+000
-2.399999999999998e-001	1.924514e+000
-2.299999999999998e-001	1.926462e+000
-2.199999999999998e-001	1.928515e+000
-2.099999999999997e-001	1.930670e+000
-1.999999999999997e-001	1.932925e+000
-1.899999999999997e-001	1.935279e+000
-1.799999999999997e-001	1.937730e+000
-1.699999999999997e-001	1.940276e+000
-1.599999999999997e-001	1.942917e+000
-1.499999999999997e-001	1.945649e+000
-1.399999999999997e-001	1.948473e+000
-1.299999999999997e-001	1.951386e+000
-1.199999999999997e-001	1.954388e+000
-1.099999999999997e-001	1.957477e+000
-9.999999999999969e-002	1.960653e+000
-8.999999999999969e-002	1.963914e+000
-7.999999999999970e-002	1.967260e+000
-6.999999999999970e-002	1.970690e+000
-5.999999999999970e-002	1.974203e+000
-4.999999999999970e-002	1.977798e+000
-3.999999999999970e-002	1.981476e+000
-2.999999999999969e-002	1.985236e+000
-1.999999999999969e-002	1.989077e+000
-9.999999999999691e-003	1.992999e+000
3.087807787238717e-016	1.997003e+000
1.000000000000031e-002	2.001088e+000
2.000000000000031e-002	2.005255e+000
3.000000000000031e-002	2.009502e+000
4.000000000000031e-002	2.013832e+000
5.000000000000032e-002	2.018243e+000
6.000000000000032e-002	2.022737e+000
7.000000000000031e-002	2.027314e+000
8.000000000000031e-002	2.031974e+000
9.000000000000030e-002	2.036718e+000
1.000000000000003e-001	2.041547e+000
1.100000000000003e-001	2.046462e+000
1.200000000000003e-001	2.051464e+000
1.300000000000003e-001	2.056553e+000
1.400000000000003e-001	2.061732e+000
1.500000000000003e-001	2.067000e+000
1.600000000000003e-001	2.072361e+000
1.700000000000003e-001	2.077813e+000
1.800000000000003e-001	2.083361e+000
1.900000000000003e-001	2.089004e+000
2.000000000000003e-001	2.094745e+000
2.100000000000004e-001	2.100586e+000
2.200000000000004e-001	2.106528e+000
2.300000000000004e-001	2.112572e+000
2.400000000000004e-001	2.118722e+000
2.500000000000004e-001	2.124978e+000
2.600000000000004e-001	2.131343e+000
2.700000000000004e-001	2.137818e+000
2.800000000000004e-001	2.144404e+000
2.900000000000004e-001	2.151104e+000
3.000000000000004e-001	2.157917e+000
3.100000000000004e-001	2.164844e+000
3.200000000000005e-001	2.171885e+000
3.300000000000005e-001	2.179039e+000
3.400000000000005e-001	2.186304e+000
3.500000000000005e-001	2.193677e+000
3.600000000000005e-001	2.201154e+000
3.700000000000005e-001	2.208730e+000
3.800000000000005e-001	2.216396e+000
