v2	V(v)
Step Information: V3=2.5  (Run: 1/3)
-5.000000000000000e-001	7.872393e-001
-4.900000000000000e-001	7.893276e-001
-4.800000000000000e-001	7.915116e-001
-4.700000000000000e-001	7.937124e-001
-4.600000000000000e-001	7.959544e-001
-4.500000000000000e-001	7.982378e-001
-4.400000000000000e-001	8.005619e-001
-4.299999999999999e-001	8.029262e-001
-4.199999999999999e-001	8.053302e-001
-4.099999999999999e-001	8.077734e-001
-3.999999999999999e-001	8.102553e-001
-3.899999999999999e-001	8.127756e-001
-3.799999999999999e-001	8.153337e-001
-3.699999999999999e-001	8.179293e-001
-3.599999999999999e-001	8.205619e-001
-3.499999999999999e-001	8.232313e-001
-3.399999999999999e-001	8.259369e-001
-3.299999999999999e-001	8.286785e-001
-3.199999999999998e-001	8.314558e-001
-3.099999999999998e-001	8.342685e-001
-2.999999999999998e-001	8.371160e-001
-2.899999999999998e-001	8.399983e-001
-2.799999999999998e-001	8.429151e-001
-2.699999999999998e-001	8.458660e-001
-2.599999999999998e-001	8.488508e-001
-2.499999999999998e-001	8.518693e-001
-2.399999999999998e-001	8.549212e-001
-2.299999999999998e-001	8.580064e-001
-2.199999999999998e-001	8.611245e-001
-2.099999999999997e-001	8.642755e-001
-1.999999999999997e-001	8.674591e-001
-1.899999999999997e-001	8.706751e-001
-1.799999999999997e-001	8.739234e-001
-1.699999999999997e-001	8.772039e-001
-1.599999999999997e-001	8.805164e-001
-1.499999999999997e-001	8.838607e-001
-1.399999999999997e-001	8.872368e-001
-1.299999999999997e-001	8.906444e-001
-1.199999999999997e-001	8.940837e-001
-1.099999999999997e-001	8.975543e-001
-9.999999999999969e-002	9.010562e-001
-8.999999999999969e-002	9.045895e-001
-7.999999999999970e-002	9.081539e-001
-6.999999999999970e-002	9.117494e-001
-5.999999999999970e-002	9.153761e-001
-4.999999999999970e-002	9.190338e-001
-3.999999999999970e-002	9.227225e-001
-2.999999999999969e-002	9.264421e-001
-1.999999999999969e-002	9.301928e-001
-9.999999999999691e-003	9.339744e-001
3.087807787238717e-016	9.377871e-001
1.000000000000031e-002	9.416306e-001
2.000000000000031e-002	9.455052e-001
3.000000000000031e-002	9.494108e-001
4.000000000000031e-002	9.533475e-001
5.000000000000032e-002	9.573153e-001
6.000000000000032e-002	9.613142e-001
7.000000000000031e-002	9.653444e-001
8.000000000000031e-002	9.694059e-001
9.000000000000030e-002	9.734988e-001
1.000000000000003e-001	9.776231e-001
1.100000000000003e-001	9.817790e-001
1.200000000000003e-001	9.859666e-001
1.300000000000003e-001	9.901860e-001
1.400000000000003e-001	9.944373e-001
1.500000000000003e-001	9.987206e-001
1.600000000000003e-001	1.003036e+000
1.700000000000003e-001	1.007384e+000
1.800000000000003e-001	1.011765e+000
1.900000000000003e-001	1.016178e+000
2.000000000000003e-001	1.020624e+000
2.100000000000004e-001	1.025103e+000
2.200000000000004e-001	1.029615e+000
2.300000000000004e-001	1.034161e+000
2.400000000000004e-001	1.038741e+000
2.500000000000004e-001	1.043355e+000
2.600000000000004e-001	1.048002e+000
2.700000000000004e-001	1.052685e+000
2.800000000000004e-001	1.057402e+000
2.900000000000004e-001	1.062154e+000
3.000000000000004e-001	1.066942e+000
3.100000000000004e-001	1.071765e+000
3.200000000000005e-001	1.076624e+000
3.300000000000005e-001	1.081520e+000
3.400000000000005e-001	1.086452e+000
3.500000000000005e-001	1.091422e+000
3.600000000000005e-001	1.096429e+000
3.700000000000005e-001	1.101473e+000
3.800000000000005e-001	1.106556e+000
3.900000000000005e-001	1.111678e+000
4.000000000000005e-001	1.116839e+000
4.100000000000005e-001	1.122040e+000
4.200000000000005e-001	1.127281e+000
4.300000000000006e-001	1.132562e+000
4.400000000000006e-001	1.137884e+000
4.500000000000006e-001	1.143249e+000
4.600000000000006e-001	1.148655e+000
4.700000000000006e-001	1.154105e+000
4.800000000000006e-001	1.159598e+000
4.900000000000006e-001	1.165135e+000
5.000000000000000e-001	1.170716e+000
Step Information: V3=3.5  (Run: 2/3)
-5.000000000000000e-001	1.563014e+000
-4.900000000000000e-001	1.565224e+000
-4.800000000000000e-001	1.567538e+000
-4.700000000000000e-001	1.569865e+000
-4.600000000000000e-001	1.572236e+000
-4.500000000000000e-001	1.574648e+000
-4.400000000000000e-001	1.577103e+000
-4.299999999999999e-001	1.579598e+000
-4.199999999999999e-001	1.582135e+000
-4.099999999999999e-001	1.584711e+000
-3.999999999999999e-001	1.587327e+000
-3.899999999999999e-001	1.589983e+000
-3.799999999999999e-001	1.592677e+000
-3.699999999999999e-001	1.595410e+000
-3.599999999999999e-001	1.598181e+000
-3.499999999999999e-001	1.600989e+000
-3.399999999999999e-001	1.603834e+000
-3.299999999999999e-001	1.606716e+000
-3.199999999999998e-001	1.609635e+000
-3.099999999999998e-001	1.612590e+000
-2.999999999999998e-001	1.615580e+000
-2.899999999999998e-001	1.618606e+000
-2.799999999999998e-001	1.621667e+000
-2.699999999999998e-001	1.624763e+000
-2.599999999999998e-001	1.627894e+000
-2.499999999999998e-001	1.631059e+000
-2.399999999999998e-001	1.634259e+000
-2.299999999999998e-001	1.637492e+000
-2.199999999999998e-001	1.640759e+000
-2.099999999999997e-001	1.644059e+000
-1.999999999999997e-001	1.647393e+000
-1.899999999999997e-001	1.650760e+000
-1.799999999999997e-001	1.654160e+000
-1.699999999999997e-001	1.657592e+000
-1.599999999999997e-001	1.661058e+000
-1.499999999999997e-001	1.664555e+000
-1.399999999999997e-001	1.668085e+000
-1.299999999999997e-001	1.671648e+000
-1.199999999999997e-001	1.675242e+000
-1.099999999999997e-001	1.678868e+000
-9.999999999999969e-002	1.682526e+000
-8.999999999999969e-002	1.686216e+000
-7.999999999999970e-002	1.689938e+000
-6.999999999999970e-002	1.693692e+000
-5.999999999999970e-002	1.697477e+000
-4.999999999999970e-002	1.701294e+000
-3.999999999999970e-002	1.705142e+000
-2.999999999999969e-002	1.709022e+000
-1.999999999999969e-002	1.712933e+000
-9.999999999999691e-003	1.716875e+000
3.087807787238717e-016	1.720850e+000
1.000000000000031e-002	1.724855e+000
2.000000000000031e-002	1.728892e+000
3.000000000000031e-002	1.732961e+000
4.000000000000031e-002	1.737061e+000
5.000000000000032e-002	1.741192e+000
6.000000000000032e-002	1.745356e+000
7.000000000000031e-002	1.749550e+000
8.000000000000031e-002	1.753777e+000
9.000000000000030e-002	1.758036e+000
1.000000000000003e-001	1.762326e+000
1.100000000000003e-001	1.766648e+000
1.200000000000003e-001	1.771002e+000
1.300000000000003e-001	1.775389e+000
1.400000000000003e-001	1.779808e+000
1.500000000000003e-001	1.784259e+000
1.600000000000003e-001	1.788743e+000
1.700000000000003e-001	1.793259e+000
1.800000000000003e-001	1.797809e+000
1.900000000000003e-001	1.802391e+000
2.000000000000003e-001	1.807006e+000
2.100000000000004e-001	1.811656e+000
2.200000000000004e-001	1.816338e+000
2.300000000000004e-001	1.821054e+000
2.400000000000004e-001	1.825805e+000
2.500000000000004e-001	1.830590e+000
2.600000000000004e-001	1.835409e+000
2.700000000000004e-001	1.840263e+000
2.800000000000004e-001	1.845152e+000
2.900000000000004e-001	1.850076e+000
3.000000000000004e-001	1.855036e+000
3.100000000000004e-001	1.860032e+000
3.200000000000005e-001	1.865064e+000
3.300000000000005e-001	1.870133e+000
3.400000000000005e-001	1.875238e+000
3.500000000000005e-001	1.880381e+000
3.600000000000005e-001	1.885561e+000
3.700000000000005e-001	1.890780e+000
3.800000000000005e-001	1.896037e+000
3.900000000000005e-001	1.901333e+000
4.000000000000005e-001	1.906668e+000
4.100000000000005e-001	1.912043e+000
4.200000000000005e-001	1.917458e+000
4.300000000000006e-001	1.922914e+000
4.400000000000006e-001	1.928411e+000
4.500000000000006e-001	1.933950e+000
4.600000000000006e-001	1.939531e+000
4.700000000000006e-001	1.945156e+000
4.800000000000006e-001	1.950823e+000
4.900000000000006e-001	1.956535e+000
5.000000000000000e-001	1.962292e+000
Step Information: V3=4.5  (Run: 3/3)
-5.000000000000000e-001	2.367312e+000
-4.900000000000000e-001	2.369617e+000
-4.800000000000000e-001	2.372026e+000
-4.700000000000000e-001	2.374449e+000
-4.600000000000000e-001	2.376916e+000
-4.500000000000000e-001	2.379425e+000
-4.400000000000000e-001	2.381976e+000
-4.299999999999999e-001	2.384568e+000
-4.199999999999999e-001	2.387201e+000
-4.099999999999999e-001	2.389875e+000
-3.999999999999999e-001	2.392589e+000
-3.899999999999999e-001	2.395343e+000
-3.799999999999999e-001	2.398135e+000
-3.699999999999999e-001	2.400966e+000
-3.599999999999999e-001	2.403836e+000
-3.499999999999999e-001	2.406743e+000
-3.399999999999999e-001	2.409687e+000
-3.299999999999999e-001	2.412669e+000
-3.199999999999998e-001	2.415688e+000
-3.099999999999998e-001	2.418742e+000
-2.999999999999998e-001	2.421833e+000
-2.899999999999998e-001	2.424960e+000
-2.799999999999998e-001	2.428122e+000
-2.699999999999998e-001	2.431320e+000
-2.599999999999998e-001	2.434552e+000
-2.499999999999998e-001	2.437819e+000
-2.399999999999998e-001	2.441120e+000
-2.299999999999998e-001	2.444456e+000
-2.199999999999998e-001	2.447826e+000
-2.099999999999997e-001	2.451229e+000
-1.999999999999997e-001	2.454666e+000
-1.899999999999997e-001	2.458136e+000
-1.799999999999997e-001	2.461639e+000
-1.699999999999997e-001	2.465176e+000
-1.599999999999997e-001	2.468745e+000
-1.499999999999997e-001	2.472347e+000
-1.399999999999997e-001	2.475982e+000
-1.299999999999997e-001	2.479649e+000
-1.199999999999997e-001	2.483349e+000
-1.099999999999997e-001	2.487081e+000
-9.999999999999969e-002	2.490844e+000
-8.999999999999969e-002	2.494640e+000
-7.999999999999970e-002	2.498468e+000
-6.999999999999970e-002	2.502328e+000
-5.999999999999970e-002	2.506220e+000
-4.999999999999970e-002	2.510143e+000
-3.999999999999970e-002	2.514098e+000
-2.999999999999969e-002	2.518085e+000
-1.999999999999969e-002	2.522104e+000
-9.999999999999691e-003	2.526154e+000
3.087807787238717e-016	2.530236e+000
1.000000000000031e-002	2.534349e+000
2.000000000000031e-002	2.538494e+000
3.000000000000031e-002	2.542671e+000
4.000000000000031e-002	2.546880e+000
5.000000000000032e-002	2.551120e+000
6.000000000000032e-002	2.555392e+000
7.000000000000031e-002	2.559696e+000
8.000000000000031e-002	2.564032e+000
9.000000000000030e-002	2.568399e+000
1.000000000000003e-001	2.572799e+000
1.100000000000003e-001	2.577231e+000
1.200000000000003e-001	2.581695e+000
1.300000000000003e-001	2.586191e+000
1.400000000000003e-001	2.590719e+000
1.500000000000003e-001	2.595281e+000
1.600000000000003e-001	2.599874e+000
1.700000000000003e-001	2.604501e+000
1.800000000000003e-001	2.609161e+000
1.900000000000003e-001	2.613853e+000
2.000000000000003e-001	2.618579e+000
2.100000000000004e-001	2.623339e+000
2.200000000000004e-001	2.628132e+000
2.300000000000004e-001	2.632959e+000
2.400000000000004e-001	2.637820e+000
2.500000000000004e-001	2.642715e+000
2.600000000000004e-001	2.647645e+000
2.700000000000004e-001	2.652609e+000
2.800000000000004e-001	2.657609e+000
2.900000000000004e-001	2.662644e+000
3.000000000000004e-001	2.667714e+000
3.100000000000004e-001	2.672820e+000
3.200000000000005e-001	2.677963e+000
3.300000000000005e-001	2.683142e+000
3.400000000000005e-001	2.688357e+000
3.500000000000005e-001	2.693610e+000
3.600000000000005e-001	2.698901e+000
3.700000000000005e-001	2.704229e+000
3.800000000000005e-001	2.709596e+000
3.900000000000005e-001	2.715001e+000
4.000000000000005e-001	2.720446e+000
4.100000000000005e-001	2.725930e+000
4.200000000000005e-001	2.731454e+000
4.300000000000006e-001	2.737019e+000
4.400000000000006e-001	2.742625e+000
4.500000000000006e-001	2.748272e+000
4.600000000000006e-001	2.753961e+000
4.700000000000006e-001	2.759693e+000
4.800000000000006e-001	2.765468e+000
4.900000000000006e-001	2.771287e+000
5.000000000000000e-001	2.777150e+000
