v2	I(I1)	I(I2)
Step Information: V3=2.5  (Run: 1/3)
-5.000000000000000e-001	3.464050e-006	2.414857e-005
-4.900000000000000e-001	3.629213e-006	2.398496e-005
-4.800000000000000e-001	3.797147e-006	2.381856e-005
-4.700000000000000e-001	3.967796e-006	2.364946e-005
-4.600000000000000e-001	4.141073e-006	2.347773e-005
-4.500000000000000e-001	4.316901e-006	2.330345e-005
-4.400000000000000e-001	4.495205e-006	2.312670e-005
-4.299999999999999e-001	4.675910e-006	2.294754e-005
-4.199999999999999e-001	4.858944e-006	2.276605e-005
-4.099999999999999e-001	5.044234e-006	2.258230e-005
-3.999999999999999e-001	5.231712e-006	2.239636e-005
-3.899999999999999e-001	5.421307e-006	2.220830e-005
-3.799999999999999e-001	5.612953e-006	2.201818e-005
-3.699999999999999e-001	5.806583e-006	2.182607e-005
-3.599999999999999e-001	6.002132e-006	2.163204e-005
-3.499999999999999e-001	6.199535e-006	2.143614e-005
-3.399999999999999e-001	6.398729e-006	2.123845e-005
-3.299999999999999e-001	6.599653e-006	2.103901e-005
-3.199999999999998e-001	6.802245e-006	2.083790e-005
-3.099999999999998e-001	7.006446e-006	2.063517e-005
-2.999999999999998e-001	7.212196e-006	2.043088e-005
-2.899999999999998e-001	7.419438e-006	2.022509e-005
-2.799999999999998e-001	7.628113e-006	2.001785e-005
-2.699999999999998e-001	7.838165e-006	1.980923e-005
-2.599999999999998e-001	8.049539e-006	1.959927e-005
-2.499999999999998e-001	8.262180e-006	1.938804e-005
-2.399999999999998e-001	8.476033e-006	1.917558e-005
-2.299999999999998e-001	8.691045e-006	1.896195e-005
-2.199999999999998e-001	8.907163e-006	1.874721e-005
-2.099999999999997e-001	9.124335e-006	1.853139e-005
-1.999999999999997e-001	9.342508e-006	1.831457e-005
-1.899999999999997e-001	9.561632e-006	1.809678e-005
-1.799999999999997e-001	9.781657e-006	1.787808e-005
-1.699999999999997e-001	1.000253e-005	1.765851e-005
-1.599999999999997e-001	1.022421e-005	1.743813e-005
-1.499999999999997e-001	1.044663e-005	1.721699e-005
-1.399999999999997e-001	1.066976e-005	1.699514e-005
-1.299999999999997e-001	1.089355e-005	1.677262e-005
-1.199999999999997e-001	1.111794e-005	1.654948e-005
-1.099999999999997e-001	1.134288e-005	1.632577e-005
-9.999999999999969e-002	1.156834e-005	1.610154e-005
-8.999999999999969e-002	1.179427e-005	1.587683e-005
-7.999999999999970e-002	1.202061e-005	1.565170e-005
-6.999999999999970e-002	1.224732e-005	1.542618e-005
-5.999999999999970e-002	1.247435e-005	1.520033e-005
-4.999999999999970e-002	1.270166e-005	1.497419e-005
-3.999999999999970e-002	1.292920e-005	1.474780e-005
-2.999999999999969e-002	1.315693e-005	1.452122e-005
-1.999999999999969e-002	1.338480e-005	1.429449e-005
-9.999999999999691e-003	1.361276e-005	1.406766e-005
3.087807787238717e-016	1.384077e-005	1.384077e-005
1.000000000000031e-002	1.406878e-005	1.361387e-005
2.000000000000031e-002	1.429675e-005	1.338700e-005
3.000000000000031e-002	1.452463e-005	1.316021e-005
4.000000000000031e-002	1.475238e-005	1.293355e-005
5.000000000000032e-002	1.497995e-005	1.270706e-005
6.000000000000032e-002	1.520729e-005	1.248078e-005
7.000000000000031e-002	1.543435e-005	1.225478e-005
8.000000000000031e-002	1.566110e-005	1.202908e-005
9.000000000000030e-002	1.588749e-005	1.180374e-005
1.000000000000003e-001	1.611346e-005	1.157880e-005
1.100000000000003e-001	1.633898e-005	1.135432e-005
1.200000000000003e-001	1.656399e-005	1.113033e-005
1.300000000000003e-001	1.678846e-005	1.090689e-005
1.400000000000003e-001	1.701232e-005	1.068404e-005
1.500000000000003e-001	1.723554e-005	1.046183e-005
1.600000000000003e-001	1.745806e-005	1.024031e-005
1.700000000000003e-001	1.767985e-005	1.001953e-005
1.800000000000003e-001	1.790084e-005	9.799538e-006
1.900000000000003e-001	1.812099e-005	9.580382e-006
2.000000000000003e-001	1.834026e-005	9.362110e-006
2.100000000000004e-001	1.855858e-005	9.144776e-006
2.200000000000004e-001	1.877592e-005	8.928429e-006
2.300000000000004e-001	1.899222e-005	8.713121e-006
2.400000000000004e-001	1.920742e-005	8.498903e-006
2.500000000000004e-001	1.942148e-005	8.285829e-006
2.600000000000004e-001	1.963435e-005	8.073950e-006
2.700000000000004e-001	1.984596e-005	7.863320e-006
2.800000000000004e-001	2.005628e-005	7.653995e-006
2.900000000000004e-001	2.026523e-005	7.446029e-006
3.000000000000004e-001	2.047278e-005	7.239478e-006
3.100000000000004e-001	2.067885e-005	7.034399e-006
3.200000000000005e-001	2.088340e-005	6.830847e-006
3.300000000000005e-001	2.108636e-005	6.628883e-006
3.400000000000005e-001	2.128769e-005	6.428565e-006
3.500000000000005e-001	2.148731e-005	6.229953e-006
3.600000000000005e-001	2.168517e-005	6.033108e-006
3.700000000000005e-001	2.188120e-005	5.838091e-006
3.800000000000005e-001	2.207535e-005	5.644967e-006
3.900000000000005e-001	2.226755e-005	5.453798e-006
4.000000000000005e-001	2.245774e-005	5.264650e-006
4.100000000000005e-001	2.264585e-005	5.077590e-006
4.200000000000005e-001	2.283181e-005	4.892684e-006
4.300000000000006e-001	2.301556e-005	4.710001e-006
4.400000000000006e-001	2.319702e-005	4.529612e-006
4.500000000000006e-001	2.337613e-005	4.351587e-006
4.600000000000006e-001	2.355281e-005	4.175999e-006
4.700000000000006e-001	2.372699e-005	4.002922e-006
4.800000000000006e-001	2.389860e-005	3.832430e-006
4.900000000000006e-001	2.406756e-005	3.664602e-006
5.000000000000000e-001	2.423379e-005	3.499514e-006
Step Information: V3=3.5  (Run: 2/3)
-5.000000000000000e-001	3.544158e-006	2.428818e-005
-4.900000000000000e-001	3.710642e-006	2.412239e-005
-4.800000000000000e-001	3.879843e-006	2.395388e-005
-4.700000000000000e-001	4.051696e-006	2.378273e-005
-4.600000000000000e-001	4.226119e-006	2.360902e-005
-4.500000000000000e-001	4.403036e-006	2.343282e-005
-4.400000000000000e-001	4.582372e-006	2.325420e-005
-4.299999999999999e-001	4.764056e-006	2.307325e-005
-4.199999999999999e-001	4.948015e-006	2.289002e-005
-4.099999999999999e-001	5.134179e-006	2.270460e-005
-3.999999999999999e-001	5.322479e-006	2.251705e-005
-3.899999999999999e-001	5.512848e-006	2.232743e-005
-3.799999999999999e-001	5.705220e-006	2.213581e-005
-3.699999999999999e-001	5.899529e-006	2.194226e-005
-3.599999999999999e-001	6.095711e-006	2.174684e-005
-3.499999999999999e-001	6.293703e-006	2.154962e-005
-3.399999999999999e-001	6.493444e-006	2.135065e-005
-3.299999999999999e-001	6.694873e-006	2.115000e-005
-3.199999999999998e-001	6.897930e-006	2.094772e-005
-3.099999999999998e-001	7.102557e-006	2.074388e-005
-2.999999999999998e-001	7.308694e-006	2.053853e-005
-2.899999999999998e-001	7.516286e-006	2.033174e-005
-2.799999999999998e-001	7.725275e-006	2.012354e-005
-2.699999999999998e-001	7.935608e-006	1.991401e-005
-2.599999999999998e-001	8.147228e-006	1.970320e-005
-2.499999999999998e-001	8.360083e-006	1.949115e-005
-2.399999999999998e-001	8.574119e-006	1.927793e-005
-2.299999999999998e-001	8.789283e-006	1.906358e-005
-2.199999999999998e-001	9.005524e-006	1.884816e-005
-2.099999999999997e-001	9.222790e-006	1.863171e-005
-1.999999999999997e-001	9.441031e-006	1.841430e-005
-1.899999999999997e-001	9.660196e-006	1.819596e-005
-1.799999999999997e-001	9.880237e-006	1.797676e-005
-1.699999999999997e-001	1.010110e-005	1.775673e-005
-1.599999999999997e-001	1.032275e-005	1.753593e-005
-1.499999999999997e-001	1.054512e-005	1.731440e-005
-1.399999999999997e-001	1.076817e-005	1.709220e-005
-1.299999999999997e-001	1.099186e-005	1.686936e-005
