v2	I(I1)	I(I2)
Step Information: V3=2.5  (Run: 1/3)
-5.000000000000000e-001	2.271787e-009	5.313775e-006
-4.900000000000000e-001	3.043223e-009	5.313007e-006
-4.800000000000000e-001	4.072696e-009	5.311982e-006
-4.700000000000000e-001	5.442590e-009	5.310617e-006
-4.600000000000000e-001	7.258665e-009	5.308808e-006
-4.500000000000000e-001	9.654656e-009	5.306422e-006
-4.400000000000000e-001	1.279651e-008	5.303293e-006
-4.299999999999999e-001	1.688540e-008	5.299221e-006
-4.199999999999999e-001	2.215839e-008	5.293969e-006
-4.099999999999999e-001	2.888570e-008	5.287268e-006
-3.999999999999999e-001	3.736390e-008	5.278824e-006
-3.899999999999999e-001	4.790493e-008	5.268324e-006
-3.799999999999999e-001	6.082224e-008	5.255456e-006
-3.699999999999999e-001	7.641584e-008	5.239922e-006
-3.599999999999999e-001	9.495848e-008	5.221450e-006
-3.499999999999999e-001	1.166848e-007	5.199804e-006
-3.399999999999999e-001	1.417847e-007	5.174796e-006
-3.299999999999999e-001	1.704002e-007	5.146283e-006
-3.199999999999998e-001	2.026266e-007	5.114171e-006
-3.099999999999998e-001	2.385156e-007	5.078407e-006
-2.999999999999998e-001	2.780799e-007	5.038978e-006
-2.899999999999998e-001	3.212986e-007	4.995905e-006
-2.799999999999998e-001	3.681227e-007	4.949235e-006
-2.699999999999998e-001	4.184806e-007	4.899040e-006
-2.599999999999998e-001	4.722822e-007	4.845408e-006
-2.499999999999998e-001	5.294232e-007	4.788444e-006
-2.399999999999998e-001	5.897883e-007	4.728262e-006
-2.299999999999998e-001	6.532543e-007	4.664985e-006
-2.199999999999998e-001	7.196919e-007	4.598740e-006
-2.099999999999997e-001	7.889679e-007	4.529661e-006
-1.999999999999997e-001	8.609465e-007	4.457883e-006
-1.899999999999997e-001	9.354906e-007	4.383541e-006
-1.799999999999997e-001	1.012462e-006	4.306774e-006
-1.699999999999997e-001	1.091724e-006	4.227718e-006
-1.599999999999997e-001	1.173138e-006	4.146511e-006
-1.499999999999997e-001	1.256569e-006	4.063287e-006
-1.399999999999997e-001	1.341881e-006	3.978182e-006
-1.299999999999997e-001	1.428941e-006	3.891329e-006
-1.199999999999997e-001	1.517616e-006	3.802859e-006
-1.099999999999997e-001	1.607776e-006	3.712904e-006
-9.999999999999969e-002	1.699291e-006	3.621592e-006
-8.999999999999969e-002	1.792033e-006	3.529052e-006
-7.999999999999970e-002	1.885876e-006	3.435409e-006
-6.999999999999970e-002	1.980694e-006	3.340789e-006
-5.999999999999970e-002	2.076363e-006	3.245316e-006
-4.999999999999970e-002	2.172759e-006	3.149113e-006
-3.999999999999970e-002	2.269762e-006	3.052302e-006
-2.999999999999969e-002	2.367248e-006	2.955005e-006
-1.999999999999969e-002	2.465097e-006	2.857343e-006
-9.999999999999691e-003	2.563189e-006	2.759436e-006
3.087807787238717e-016	2.661404e-006	2.661404e-006
1.000000000000031e-002	2.759622e-006	2.563368e-006
2.000000000000031e-002	2.857723e-006	2.465446e-006
3.000000000000031e-002	2.955587e-006	2.367760e-006
4.000000000000031e-002	3.053093e-006	2.270430e-006
5.000000000000032e-002	3.150123e-006	2.173575e-006
6.000000000000032e-002	3.246553e-006	2.077319e-006
7.000000000000031e-002	3.342264e-006	1.981782e-006
8.000000000000031e-002	3.437131e-006	1.887087e-006
9.000000000000030e-002	3.531032e-006	1.793359e-006
1.000000000000003e-001	3.623842e-006	1.700722e-006
1.100000000000003e-001	3.715435e-006	1.609303e-006
1.200000000000003e-001	3.805685e-006	1.519228e-006
1.300000000000003e-001	3.894462e-006	1.430627e-006
1.400000000000003e-001	3.981637e-006	1.343630e-006
1.500000000000003e-001	4.067080e-006	1.258368e-006
1.600000000000003e-001	4.150657e-006	1.174974e-006
1.700000000000003e-001	4.232235e-006	1.093582e-006
1.800000000000003e-001	4.311678e-006	1.014329e-006
1.900000000000003e-001	4.388852e-006	9.373505e-007
2.000000000000003e-001	4.463619e-006	8.627833e-007
2.100000000000004e-001	4.535842e-006	7.907649e-007
2.200000000000004e-001	4.605386e-006	7.214319e-007
2.300000000000004e-001	4.672116e-006	6.549200e-007
2.400000000000004e-001	4.735899e-006	5.913622e-007
2.500000000000004e-001	4.796606e-006	5.308879e-007
2.600000000000004e-001	4.854114e-006	4.736211e-007
